cluster,Eastern Corn Belt Plains,Huron/Erie Lake Plains,North Central Hardwood Forests,Northern Lakes and Forests,Southern Michigan/Northern Indiana Drift Plains
1,0,10,0,0,6
2,1,1,1,9,20
3,0,1,1,1,4
4,0,1,0,0,5
