cluster,Eastern Corn Belt Plains,Huron/Erie Lake Plains,North Central Hardwood Forests,Northern Lakes and Forests,Southern Michigan/Northern Indiana Drift Plains
1,0,1,2,10,3
2,1,4,0,0,23
3,0,3,0,0,0
4,0,5,0,0,9
